run_name,run_folder,predem,dem
100323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231004_LH00150_0210_B22C7L5LT3,done,done
100423-SP-fc1,/mnt/novaoutput/NovaSeq/MyRun/231004_A02051_0234_AHM5WGDRX3,done,done
100723-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231007_LH00150_0211_A22F3LYLT3,done,done
100723-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231007_LH00150_0212_B22F3HCLT3,done,done
100723-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231007_A02051_0235_BHMLFYDSX7,done,done
100723-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231007_A02051_0236_AHMKJGDSX7,done,done
100823-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231008_LH00150_0214_A227VL2LT3,done,done
100823-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231008_LH00150_0213_B227VM7LT3,done,done
101023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231010_LH00150_0216_A22CC32LT3,error,done
101023-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231010_LH00150_0217_B22F3FNLT3,done,done
101023-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231010_A02051_0237_BHMMK3DSX7,done,done
101023-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231010_A02051_0238_AHMMWCDSX7,done,done
101123-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231011_LH00150_0218_B227VLYLT3,done,done
092823-XP-fc2,/mnt/novaoutput/DeliverTeam_Output/5-Delivery_Team/kevin.sun/Download/20230918_LH00150_0193_B22CNVKLT3,done,done
101223-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231012_LH00150_0219_B225L3WLT3,done,done
101223-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231012_A02051_0239_BHLW2MDSX7,done,done
101323-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231013_LH00150_0220_B22FJH3LT3,done,done
101623-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231016_A02051_0240_AHNFH5DSX7,done,done
101623-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231016_A02051_0241_BHNF3TDSX7,done,done
101723-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231017_LH00150_0221_B22FKWWLT3,done,done
101823-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231018_LH00150_0222_B22FJ3LLT3,error,done
101923-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231019_LH00150_0223_A22FJ3NLT3,error,done
101923-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231019_LH00150_0224_B22FJ5KLT3,done,done
102023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231020_LH00150_0225_A22FJH2LT3,error,error
102123-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231021_A02051_0242_BHMLWKDSX7,no need,done
102123-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231021_A02051_0243_AHLTWNDSX7,no need,done
102123-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231021_LH00150_0226_B22FJ2VLT3,done,done
102323-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231023_LH00150_0228_B22FJ3GLT3,done,done
102523-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231025_LH00150_0230_A22C7NHLT3,done,done
102523-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231025_LH00150_0229_B22FJYTLT3,done,done
102623-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231026_LH00150_0231_B22FHY2LT3,done,done
102723-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231027_A02051_0245_AHNF7WDSX7,done,done
102723-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231027_A02051_0244_BHNGYFDSX7,done,done
102723-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231027_LH00150_0233_B22FJYNLT3,done,failed
103023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231030_LH00150_0234_A22FKCMLT3,error,done
103023-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231030_LH00150_0235_B22FK2NLT3,done,done
110123-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231101_LH00150_0236_B22FK2JLT3,done,done
110123-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231101_LH00150_0237_A22FG5WLT3,done,done
110123-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231101_A02051_0246_AHNFCHDSX7,done,done
110223-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231102_LH00150_0239_A22G3TMLT3,done,done
110223-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231102_LH00150_0238_B22G3H3LT3,done,done
110423-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231104_LH00150_0240_A22G3TKLT3,done,done
110423-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231104_LH00150_0241_B22G3H2LT3,done,done
110324-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231103_A02051_0248_AHMKNVDSX7,no need,done
110324-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231103_A02051_0247_BHNGMGDSX7,no need,done
102323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231023_LH00150_0227_A22FJH5LT3,error,done
102623-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231026_LH00150_0232_A22FHYKLT3,done,done
110623-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231106_A02051_0249_AHN372DSX7,done,done
110723-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231107_LH00150_0242_B22G3TYLT3,done,done
110923-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231109_LH00150_0244_A22GFC3LT3,done,done
110923-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231109_LH00150_0243_B22GC7KLT3,done,done
111023-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231110_LH00150_0245_B22GFH3LT3,done,done
111023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231110_LH00150_0246_A22GFHFLT3,done,done
111023-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231110_A02051_0251_BHTY5HDSX7,done,done
111223-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231112_A02051_0253_AHTWCTDSX7,done,done
111223-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231112_A02051_0252_BHTWVTDSX7,done,done
110923-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231109_A02051_0250_AHTYTWDSX7,done,done
111323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231113_LH00150_0247_A22GC37LT3,done,done
